# x y z exact_flux predicted_flux abs_error
8.7407241580903752e-02 5.8925175900627258e-01 8.0320753148064494e-01 2.8038470047146244e+00 2.8038470047146240e+00 4.4408920985006262e-16
2.9229579469904204e-02 5.9498175859162383e-01 8.0320753148064494e-01 2.7662230571954516e+00 2.7662230571954516e+00 0.0000000000000000e+00
6.7075003267509647e-01 3.2951836088094717e-02 7.4095112535495911e-01 1.2579551688760696e-01 1.2579551688760698e-01 2.7755575615628914e-17
6.6429034319116953e-01 9.8538164069449860e-02 7.4095112535495911e-01 4.0824536704782388e-01 4.0824536704782388e-01 0.0000000000000000e+00
6.5143317456427141e-01 1.6317551566437638e-01 7.4095112535495911e-01 7.2421289334749150e-01 7.2421289334749139e-01 1.1102230246251565e-16
6.3230234835672239e-01 2.2624139784264452e-01 7.4095112535495911e-01 1.0618609128788059e+00 1.0618609128788057e+00 2.2204460492503131e-16
6.0708210488287451e-01 2.8712845168355949e-01 7.4095112535495911e-01 1.4073083465369238e+00 1.4073083465369240e+00 2.2204460492503131e-16
5.7601532887416851e-01 3.4525030157438397e-01 7.4095112535495911e-01 1.7459511644375136e+00 1.7459511644375141e+00 4.4408920985006262e-16
5.3940121036639554e-01 4.0004720232803426e-01 7.4095112535495911e-01 2.0638126591994168e+00 2.0638126591994168e+00 0.0000000000000000e+00
4.9759236333609841e-01 4.5099142983521961e-01 7.4095112535495911e-01 2.3487458425564030e+00 2.3487458425564030e+00 0.0000000000000000e+00
4.5099142983521961e-01 4.9759236333609841e-01 7.4095112535495911e-01 2.5913452073427208e+00 2.5913452073427212e+00 4.4408920985006262e-16
4.0004720232803437e-01 5.3940121036639543e-01 7.4095112535495911e-01 2.7854798387524751e+00 2.7854798387524751e+00 0.0000000000000000e+00
3.4525030157438397e-01 5.7601532887416851e-01 7.4095112535495911e-01 2.9284227514003298e+00 2.9284227514003298e+00 0.0000000000000000e+00
2.8712845168355960e-01 6.0708210488287451e-01 7.4095112535495911e-01 3.0206101507135461e+00 3.0206101507135457e+00 4.4408920985006262e-16
